Fit parameters for calculating density from RBSPa spacecraft potential "v". Form is A*exp(B*v) + C*exp(D*v)


         T0                  T1          Pair    A                 B              C              D
2016-03-30/00:00:00 xxxx-xx-xx/xx:xx:xx   34  2529.10010        2.68000       88.78000        0.58000
2016-02-23/12:00:00 2016-03-30/00:00:00   34  3246.39990        2.99000      117.45000        0.62000
2016-01-27/00:00:00 2016-02-23/12:00:00   34  2958.50000        2.40000       53.22000        0.44000
2016-01-01/00:00:00 2016-01-27/00:00:00   34  4650.29980        3.06000      122.65000        0.62000
2015-12-03/00:00:00 2016-01-01/00:00:00   34  4236.89990        2.78000      108.83000        0.51000
2015-11-01/12:00:00 2015-12-03/00:00:00   34  6469.20020        2.76000      124.81000        0.47000
2015-09-30/12:00:00 2015-11-01/12:00:00   34  6612.60010        2.82000       99.40000        0.46000
2015-09-08/12:00:00 2015-09-30/12:00:00   12 19065.09961        3.64000      164.24001        0.55000
2015-08-27/00:00:00 2015-09-08/12:00:00   12 14882.40039        3.44000      172.67999        0.52000
2015-08-03/12:00:00 2015-08-27/00:00:00   12 17980.00000        3.64000      136.45000        0.47000
2015-07-05/00:00:00 2015-08-03/12:00:00   12 16683.90039        3.35000      163.86000        0.49000
2015-06-07/00:00:00 2015-07-05/00:00:00   12 13922.90039        2.71000      134.77000        0.37000
2015-05-03/00:00:00 2015-06-07/00:00:00   12  9436.00000        2.35000      206.78000        0.48000
2015-03-25/00:00:00 2015-05-03/00:00:00   12 13568.40039        2.40000      182.14999        0.42000
2015-02-21/00:00:00 2015-03-25/00:00:00   12 18459.19922        2.75000      123.32000        0.33000
2015-01-21/00:00:00 2015-02-21/00:00:00   12 16773.59961        2.72000      101.60000        0.34000
2014-12-25/12:00:00 2015-01-21/00:00:00   12  6008.70020        2.88000       74.32000        0.39000
2014-12-01/00:00:00 2014-12-25/12:00:00   12  6687.20020        3.11000      134.78999        0.55000
2014-10-31/00:00:00 2014-12-01/00:00:00   12  7117.89990        3.31000       67.65000        0.45000
2014-10-01/12:00:00 2014-10-31/00:00:00   12  6224.79980        3.54000      112.51000        0.63000
2014-08-31/00:00:00 2014-10-01/12:00:00   12  6239.60010        3.28000       92.00000        0.55000
2014-07-31/12:00:00 2014-08-31/00:00:00   12  5131.00000        3.28000      102.34000        0.56000
2014-06-24/00:00:00 2014-07-31/12:00:00   12  4878.10010        3.42000      133.60001        0.65000
2014-05-22/12:00:00 2014-06-24/00:00:00   12  8725.20020        4.04000      205.80000        0.83000
2014-04-29/00:00:00 2014-05-22/12:00:00   12  4934.79980        2.93000       75.38000        0.42000
2014-03-29/12:00:00 2014-04-29/00:00:00   12  6020.70020        3.06000       95.90000        0.45000
2014-02-27/00:00:00 2014-03-29/12:00:00   12  9487.00000        3.16000      164.08000        0.52000
2014-01-23/12:00:00 2014-02-27/00:00:00   12 11838.79980        3.24000      146.10001        0.53000
2013-12-26/00:00:00 2014-01-23/12:00:00   12  7354.39990        2.84000       96.12000        0.43000
2013-11-30/12:00:00 2013-12-26/00:00:00   12  6568.50000        2.77000      125.54000        0.48000
2013-10-26/00:00:00 2013-11-30/12:00:00   12  5627.00000        2.75000      121.54000        0.48000
2013-10-05/12:00:00 2013-10-26/00:00:00   12  8860.20020        4.04000      481.89001        0.99000
2013-09-23/12:00:00 2013-10-05/12:00:00   12  4529.89990        2.80000      107.13000        0.49000
2013-08-26/00:00:00 2013-09-23/12:00:00   12  4657.39990        2.77000      138.10001        0.59000
2013-07-21/00:00:00 2013-08-26/00:00:00   12  5776.60010        2.68000      126.81000        0.56000
2013-06-19/00:00:00 2013-07-21/00:00:00   12  6569.00000        2.75000      146.55000        0.54000
2013-05-23/00:00:00 2013-06-19/00:00:00   12  7241.10010        2.81000      114.65000        0.48000
2013-04-23/00:00:00 2013-05-23/00:00:00   12  7583.29980        2.62000       94.63000        0.43000
2013-03-28/00:00:00 2013-04-23/00:00:00   12  7678.10010        3.17000      127.85000        0.63000
2013-03-19/12:00:00 2013-03-28/00:00:00   12  3711.19995        3.13000       72.05000        0.47000
2013-03-18/12:00:00 2013-03-19/12:00:00   12  2995.50000        2.83000       47.00000        0.42000
2013-03-17/00:00:00 2013-03-18/12:00:00   12  5246.10010        3.31000       76.41000        0.55000
2013-03-15/12:00:00 2013-03-17/00:00:00   12  3152.39990        2.62000       24.39000        0.34000
2013-03-10/00:00:00 2013-03-15/12:00:00   12  2860.89990        2.53000       16.16000        0.20000
2013-02-25/12:00:00 2013-03-10/00:00:00   12  3364.60010        2.99000       61.52000        0.57000
2013-02-04/12:00:00 2013-02-25/12:00:00   12  2770.30005        2.48000       56.85000        0.45000
2013-01-13/00:00:00 2013-02-04/12:00:00   12  3378.39990        3.14000       39.30000        0.47000
2012-12-21/00:00:00 2013-01-13/00:00:00   12  3778.00000        3.12000       68.31000        0.60000
2012-12-05/12:00:00 2012-12-21/00:00:00   12  3096.10010        2.93000       31.48000        0.34000
2012-11-19/00:00:00 2012-12-05/12:00:00   12  3282.30005        3.10000       71.87000        0.63000
2012-10-19/00:00:00 2012-11-19/00:00:00   12  3448.10010        2.75000       64.37000        0.47000
2012-10-01/12:00:00 2012-10-19/00:00:00   12  3506.80005        1.98000       62.76000        0.35000
2012-09-28/00:00:00 2012-10-01/12:00:00   12  6252.10010        2.84000      586.57001        1.09000
2012-09-26/00:00:00 2012-09-28/00:00:00   12  5752.50000        2.89000      143.45000        0.58000
