#Start Time, End Time, Color, Charging Event, Max Charge
2012-09-30T23:06:52.0550, 2012-09-30T23:59:59.9440,0xFF0000, Charging, 48.6152
2012-10-01T00:00:14.9430, 2012-10-01T00:43:21.7160,0xFF0000, Charging, 48.9891
2012-10-01T00:48:58.6490, 2012-10-01T00:49:12.7110,0xFF0000, Charging, 2.22782
2012-10-01T00:51:48.2090, 2012-10-01T00:52:34.7080,0xFF0000, Charging, 3.88724
2012-10-01T01:07:02.1320, 2012-10-01T01:09:45.7550,0xFF0000, Charging, 4.07416
2012-10-08T00:52:59.0000, 2012-10-08T00:59:05.9940,0xFF0000, Charging, -4.73411
2012-10-08T01:02:44.0530, 2012-10-08T01:03:00.9910,0xFF0000, Charging, -4.97826
2012-10-08T01:05:39.0510, 2012-10-08T03:36:50.9810,0xFF0000, Charging, -0.679026
2012-10-08T03:40:04.0410, 2012-10-08T03:55:35.9650,0xFF0000, Charging, -5.41314
2012-10-08T08:55:19.0230, 2012-10-08T08:59:30.9570,0xFF0000, Charging, -2.57115
2012-10-08T09:17:29.0030, 2012-10-08T09:19:45.9390,0xFF0000, Charging, -121.321
2012-10-08T09:41:14.0450, 2012-10-08T09:53:50.9720,0xFF0000, Charging, 61.4595
2012-10-08T09:57:29.0310, 2012-10-08T09:58:55.9670,0xFF0000, Charging, -122.011
2012-10-08T10:03:49.0260, 2012-10-08T10:06:05.9610,0xFF0000, Charging, -115.217
2012-10-08T10:27:44.0060, 2012-10-08T10:31:15.9400,0xFF0000, Charging, -119.478
2012-10-08T10:35:34.0620, 2012-10-08T10:41:15.9950,0xFF0000, Charging, -118.753
2012-10-08T10:51:49.0490, 2012-10-08T10:52:35.9860,0xFF0000, Charging, -123.659
2012-10-08T11:00:24.0420, 2012-10-08T11:03:10.9770,0xFF0000, Charging, -118.074
2012-10-08T11:12:59.0320, 2012-10-08T11:13:00.9700,0xFF0000, Charging, -122.824
2012-10-08T11:17:09.0290, 2012-10-08T11:17:55.9660,0xFF0000, Charging, -122.675
2012-10-08T11:23:34.0240, 2012-10-08T13:11:14.8780,0xFF0000, Charging, 171.958
2012-10-08T20:07:39.0290, 2012-10-08T20:09:40.9650,0xFF0000, Charging, -3.33410
2012-10-08T20:11:44.0250, 2012-10-08T20:12:30.9620,0xFF0000, Charging, -2.38041
2012-10-08T20:14:39.0230, 2012-10-08T20:33:05.9440,0xFF0000, Charging, 12.7871
2012-10-08T20:36:44.0040, 2012-10-08T21:07:45.9770,0xFF0000, Charging, 51.9951
2012-10-08T21:14:49.0340, 2012-10-08T23:42:25.0410,0xFF0000, Charging, 111.295
2012-10-09T03:06:09.0590, 2012-10-09T07:38:30.9540,0xFF0000, Charging, 56.1151
2012-10-09T07:44:24.0120, 2012-10-09T07:46:25.9480,0xFF0000, Charging, -0.591287
2012-10-09T07:50:54.0070, 2012-10-09T07:50:55.9440,0xFF0000, Charging, -2.87251
2012-10-09T22:20:09.0580, 2012-10-09T22:50:40.4050,0xFF0000, Charging, 6.05783
2012-10-13T06:19:05.5080, 2012-10-13T10:21:30.2370,0xFF0000, Charging, 140.639
2012-10-13T17:30:20.6120, 2012-10-13T18:51:45.2270,0xFF0000, Charging, 58.1636
2012-10-14T10:44:06.9480, 2012-10-14T11:50:05.6380,0xFF0000, Charging, 25.1888
2012-10-14T20:04:22.0160, 2012-10-14T21:31:12.6270,0xFF0000, Charging, 15.8656
2012-10-24T04:00:59.0370, 2012-10-24T04:07:10.9690,0xFF0000, Charging, -5.00000e+30
2012-10-24T04:12:30.0890, 2012-10-24T04:14:53.8990,0xFF0000, Charging, 21.1299
2012-10-24T04:30:59.0100, 2012-10-24T04:36:05.9430,0xFF0000, Charging, -3.10903
2012-10-24T04:43:41.9990, 2012-10-24T04:44:53.8100,0xFF0000, Charging, -2.84962
2012-10-24T22:00:59.0440, 2012-10-24T22:06:55.9760,0xFF0000, Charging, -145.769
2012-10-24T22:12:55.0340, 2012-10-24T22:14:54.9070,0xFF0000, Charging, 12.5963
2012-10-24T22:30:59.0180, 2012-10-24T22:36:55.9500,0xFF0000, Charging, -3.98642
2012-10-24T22:42:55.1320, 2012-10-24T22:44:54.8810,0xFF0000, Charging, -3.50958
2012-11-01T08:32:56.4110, 2012-11-01T11:33:48.1420,0xFF0000, Charging, 156.416
2012-11-01T17:20:52.9960, 2012-11-01T21:48:27.1810,0xFF0000, Charging, 194.984
2012-11-07T10:00:09.0520, 2012-11-07T10:21:10.9720,0xFF0000, Charging, -0.328069
2012-11-12T23:14:13.7810, 2012-11-12T23:59:59.9940,0xFF0000, Charging, 58.5832
2012-11-13T00:00:10.6810, 2012-11-13T01:44:51.6600,0xFF0000, Charging, 31.7807
2012-11-14T01:42:03.4090, 2012-11-14T02:47:19.9180,0xFF0000, Charging, 91.6190
2012-11-14T02:49:56.7910, 2012-11-14T02:50:39.7900,0xFF0000, Charging, 6.03113
2012-11-14T02:53:50.6620, 2012-11-14T03:39:01.7520,0xFF0000, Charging, 165.095
2012-11-14T03:42:31.9360, 2012-11-14T04:22:04.7820,0xFF0000, Charging, 141.531
2012-11-14T04:24:44.9670, 2012-11-14T05:34:55.1650,0xFF0000, Charging, 74.1474
2012-11-20T19:04:58.2240, 2012-11-20T23:15:22.0470,0xFF0000, Charging, 194.934
2012-11-23T22:12:46.5550, 2012-11-23T22:17:32.5510,0xFF0000, Charging, 3.29213
2012-11-23T22:24:50.1710, 2012-11-23T23:14:00.1330,0xFF0000, Charging, 20.8248
2012-11-24T05:19:16.7340, 2012-11-24T07:21:52.8900,0xFF0000, Charging, 17.2313
2012-12-09T21:42:59.6050, 2012-12-09T23:59:59.9480,0xFF0000, Charging, 69.9626
2012-12-10T00:00:13.6360, 2012-12-10T00:06:16.2570,0xFF0000, Charging, 2.51011
2012-12-15T12:55:54.5910, 2012-12-15T14:35:06.6580,0xFF0000, Charging, 36.3355
2012-12-15T21:14:19.4910, 2012-12-15T23:57:06.0220,0xFF0000, Charging, 37.3579
2012-12-16T16:35:26.8840, 2012-12-16T16:54:52.1850,0xFF0000, Charging, 1.90356
2012-12-17T01:37:59.1460, 2012-12-17T02:44:16.6070,0xFF0000, Charging, 10.4868
2012-12-17T09:06:16.2010, 2012-12-17T11:00:24.3870,0xFF0000, Charging, 97.5395
2012-12-20T18:20:06.6700, 2012-12-20T19:58:33.3010,0xFF0000, Charging, 11.5435
2013-01-08T21:21:54.4050, 2013-01-08T22:42:17.7330,0xFF0000, Charging, 41.0391
2013-01-13T18:23:58.7630, 2013-01-13T20:55:22.5460,0xFF0000, Charging, 60.5859
2013-01-14T01:54:50.3130, 2013-01-14T03:36:01.1300,0xFF0000, Charging, 58.5832
2013-01-14T12:25:56.1970, 2013-01-14T13:03:04.4250,0xFF0000, Charging, 3.59350
2013-01-17T18:39:30.4830, 2013-01-17T18:45:48.4170,0xFF0000, Charging, 9.65515
2013-01-17T20:40:11.9760, 2013-01-17T22:47:35.6510,0xFF0000, Charging, 28.7404
2013-01-17T22:49:36.0880, 2013-01-17T22:51:23.4620,0xFF0000, Charging, 2.13626
2013-01-20T11:01:11.9040, 2013-01-20T12:20:11.4210,0xFF0000, Charging, 22.2286
2013-01-25T17:01:19.9040, 2013-01-25T17:09:18.3370,0xFF0000, Charging, 2.64744
2013-01-26T09:43:15.7700, 2013-01-26T11:20:49.0900,0xFF0000, Charging, 34.9393
2013-01-26T12:22:56.7410, 2013-01-26T12:31:50.0490,0xFF0000, Charging, 2.48341
2013-01-26T18:37:42.5900, 2013-01-26T18:57:34.6410,0xFF0000, Charging, 10.6584
2013-01-26T19:13:47.5700, 2013-01-26T19:17:06.5680,0xFF0000, Charging, 2.20493
2013-01-26T21:37:32.6110, 2013-01-26T23:11:12.6190,0xFF0000, Charging, 136.992
2013-02-02T05:49:39.1120, 2013-02-02T05:50:11.7370,0xFF0000, Charging, 2.04089
2013-02-02T05:52:21.9230, 2013-02-02T06:28:32.8380,0xFF0000, Charging, 9.81918
2013-02-02T14:49:02.3500, 2013-02-02T15:57:42.1200,0xFF0000, Charging, 22.9076
2013-02-08T12:56:35.9340, 2013-02-08T15:40:52.9060,0xFF0000, Charging, 194.980
2013-02-13T02:43:21.5980, 2013-02-13T02:44:26.7840,0xFF0000, Charging, 2.11719
2013-02-13T03:02:43.1480, 2013-02-13T03:22:04.6990,0xFF0000, Charging, 7.78210
2013-02-13T10:00:09.0310, 2013-02-13T10:21:55.9550,0xFF0000, Charging, -4.87144
2013-02-13T10:30:09.0130, 2013-02-13T10:52:21.0000,0xFF0000, Charging, -4.95918
2013-02-13T18:59:23.8420, 2013-02-13T20:56:43.7100,0xFF0000, Charging, 53.6355
2013-02-14T03:28:59.0450, 2013-02-14T03:45:27.5350,0xFF0000, Charging, 3.12047
2013-02-14T03:50:31.4070, 2013-02-14T04:08:26.1470,0xFF0000, Charging, 4.22293
2013-02-14T04:14:02.6430, 2013-02-14T06:55:28.2960,0xFF0000, Charging, 39.6277
2013-02-14T12:01:40.0570, 2013-02-14T14:52:22.3950,0xFF0000, Charging, 64.7974
2013-02-16T17:06:49.0610, 2013-02-16T17:08:10.9980,0xFF0000, Charging, -0.804913
2013-02-16T17:24:14.0510, 2013-02-16T19:29:02.6030,0xFF0000, Charging, 40.3563
2013-02-17T12:18:39.0030, 2013-02-17T12:19:55.9400,0xFF0000, Charging, -0.137331
2013-02-17T12:23:54.8130, 2013-02-17T12:40:26.1780,0xFF0000, Charging, 10.2121
2013-02-17T12:58:39.1670, 2013-02-17T15:42:02.0700,0xFF0000, Charging, 147.719
2013-02-17T20:21:46.2230, 2013-02-17T22:05:10.3500,0xFF0000, Charging, 30.9224
2013-02-20T03:41:04.0510, 2013-02-20T03:46:25.9850,0xFF0000, Charging, -6.15702
2013-02-20T04:00:09.0390, 2013-02-20T04:22:10.9630,0xFF0000, Charging, -5.51232
2013-02-20T12:27:52.5440, 2013-02-20T15:08:43.8220,0xFF0000, Charging, 118.574
2013-02-22T01:35:06.3830, 2013-02-22T01:52:49.1220,0xFF0000, Charging, 4.03983
2013-02-22T02:17:11.8570, 2013-02-22T03:21:20.3790,0xFF0000, Charging, 29.6750
2013-02-22T09:18:29.7870, 2013-02-22T10:45:34.2960,0xFF0000, Charging, 70.5348
2013-02-22T17:26:05.2370, 2013-02-22T19:38:52.5930,0xFF0000, Charging, 61.3107
2013-02-22T20:41:55.4280, 2013-02-22T20:59:59.4170,0xFF0000, Charging, 5.04311
2013-02-23T03:14:40.8120, 2013-02-23T03:28:13.8030,0xFF0000, Charging, 3.04799
2013-02-23T11:39:59.3100, 2013-02-23T13:13:34.1270,0xFF0000, Charging, 12.1653
2013-02-23T13:15:44.1260, 2013-02-23T13:16:16.6880,0xFF0000, Charging, 2.09430
2013-02-23T21:37:04.3780, 2013-02-23T21:55:08.8040,0xFF0000, Charging, 8.28183
2013-02-26T13:35:55.8370, 2013-02-26T14:08:32.4410,0xFF0000, Charging, 14.0230
2013-03-01T02:09:54.0560, 2013-03-01T02:10:10.9930,0xFF0000, Charging, -0.431067
2013-03-01T02:12:28.0540, 2013-03-01T02:44:16.5350,0xFF0000, Charging, 23.5752
2013-03-01T11:00:18.9190, 2013-03-01T12:07:26.0660,0xFF0000, Charging, 21.9501
2013-03-01T13:37:02.7600, 2013-03-01T14:18:03.6090,0xFF0000, Charging, 10.8377
2013-03-01T14:35:45.8480, 2013-03-01T15:26:21.1280,0xFF0000, Charging, 62.3217
2013-03-01T21:08:00.8630, 2013-03-01T23:36:20.6460,0xFF0000, Charging, 39.6544
2013-03-09T08:12:49.0480, 2013-03-09T08:24:10.9750,0xFF0000, Charging, -1.68231
2013-03-09T09:49:23.2660, 2013-03-09T09:53:17.8870,0xFF0000, Charging, 2.97932
2013-03-12T07:46:09.0210, 2013-03-12T07:48:05.9560,0xFF0000, Charging, -1.97604
2013-03-12T07:51:24.0150, 2013-03-12T07:53:15.9510,0xFF0000, Charging, -2.34226
2013-03-12T08:30:29.0400, 2013-03-12T08:30:45.9770,0xFF0000, Charging, -1.04906
2013-03-12T17:03:24.0460, 2013-03-12T17:31:25.9570,0xFF0000, Charging, -1.69375
2013-03-12T18:06:25.6730, 2013-03-12T18:28:55.4640,0xFF0000, Charging, 6.08072
2013-03-13T02:19:09.0110, 2013-03-13T02:20:00.9480,0xFF0000, Charging, -2.12482
2013-03-13T02:31:34.0620, 2013-03-13T02:31:50.9990,0xFF0000, Charging, -1.51064
2013-03-14T14:25:59.0420, 2013-03-14T14:28:10.9770,0xFF0000, Charging, -3.05943
2013-03-14T14:31:49.0360, 2013-03-14T14:33:05.9720,0xFF0000, Charging, -1.61364
2013-03-15T08:14:19.0070, 2013-03-15T08:17:05.9420,0xFF0000, Charging, -2.36515
2013-03-15T08:34:14.0500, 2013-03-15T08:34:45.9870,0xFF0000, Charging, -0.862135
2013-03-16T03:31:34.4480, 2013-03-16T05:00:19.2990,0xFF0000, Charging, 51.9417
2013-03-16T09:50:34.0180, 2013-03-16T09:57:40.9490,0xFF0000, Charging, -9.09056
2013-03-16T11:35:04.0410, 2013-03-16T11:35:44.6650,0xFF0000, Charging, 3.81476
2013-03-16T11:39:30.0370, 2013-03-16T12:51:10.0930,0xFF0000, Charging, 13.6416
2013-03-17T06:16:02.2650, 2013-03-17T07:01:50.9060,0xFF0000, Charging, 24.5556
2013-03-17T12:37:34.0180, 2013-03-17T12:45:50.9470,0xFF0000, Charging, 21.7060
2013-03-17T14:34:34.0290, 2013-03-17T14:36:55.5890,0xFF0000, Charging, 22.7741
2013-03-17T14:44:14.2700, 2013-03-17T17:33:45.6690,0xFF0000, Charging, 194.755
2013-03-17T21:46:44.0490, 2013-03-17T21:47:35.9850,0xFF0000, Charging, -1.91501
2013-03-17T22:17:36.3930, 2013-03-17T22:21:50.9520,0xFF0000, Charging, 161.368
2013-03-17T22:25:29.6980, 2013-03-17T22:27:28.8840,0xFF0000, Charging, 23.8575
2013-03-17T22:31:05.5680, 2013-03-17T22:35:04.2510,0xFF0000, Charging, 168.952
2013-03-17T22:38:41.7480, 2013-03-17T22:40:32.8710,0xFF0000, Charging, 43.3967
2013-03-17T22:57:40.9790, 2013-03-17T22:57:42.1040,0xFF0000, Charging, 26.8902
2013-03-17T23:35:09.0050, 2013-03-17T23:36:59.8780,0xFF0000, Charging, 15.5146
2013-03-20T04:04:59.0510, 2013-03-20T04:51:05.9440,0xFF0000, Charging, -1.58312
2013-03-20T05:34:19.0270, 2013-03-20T06:43:13.7100,0xFF0000, Charging, 30.6821
2013-03-20T13:20:49.0100, 2013-03-20T13:23:45.9450,0xFF0000, Charging, -2.86870
2013-03-20T14:33:19.0030, 2013-03-20T14:34:17.2520,0xFF0000, Charging, 14.0497
2013-03-20T22:31:14.0370, 2013-03-20T22:43:25.9630,0xFF0000, Charging, -1.96460
2013-03-20T23:25:30.1730, 2013-03-20T23:25:35.1730,0xFF0000, Charging, 183.001
2013-03-20T23:34:04.0400, 2013-03-20T23:59:59.9520,0xFF0000, Charging, 26.4515
2013-03-21T00:00:00.5770, 2013-03-21T01:23:23.8700,0xFF0000, Charging, 53.3989
2013-03-21T06:37:54.0030, 2013-03-21T06:39:20.9390,0xFF0000, Charging, -0.217441
2013-03-21T08:32:39.5790, 2013-03-21T08:33:13.3910,0xFF0000, Charging, 14.5762
2013-03-22T19:40:24.0050, 2013-03-22T19:41:25.9420,0xFF0000, Charging, -22.4994
2013-03-22T20:09:44.0400, 2013-03-22T20:22:35.9650,0xFF0000, Charging, -1.54116
2013-03-23T13:10:59.0320, 2013-03-23T13:11:00.9690,0xFF0000, Charging, -43.1754
2013-03-23T14:30:03.7690, 2013-03-23T14:30:50.8300,0xFF0000, Charging, 29.8009
2013-03-23T22:42:44.0380, 2013-03-23T22:42:50.9750,0xFF0000, Charging, -13.8895
2013-03-23T23:30:15.5540, 2013-03-23T23:32:06.4900,0xFF0000, Charging, 41.0086
2013-03-23T23:45:05.9770, 2013-03-23T23:59:50.0250,0xFF0000, Charging, 4.39460
2013-03-24T07:57:19.0580, 2013-03-24T08:01:10.9920,0xFF0000, Charging, -2.07141
2013-03-24T08:29:01.7770, 2013-03-24T08:29:23.6510,0xFF0000, Charging, 10.4601
2013-03-27T06:35:04.0090, 2013-03-27T07:00:00.9850,0xFF0000, Charging, -63.5004
2013-03-27T07:05:04.0430, 2013-03-27T07:30:00.9560,0xFF0000, Charging, -1.92264
2013-03-27T07:38:34.0100, 2013-03-27T07:38:55.9470,0xFF0000, Charging, -2.17823
2013-03-27T07:41:09.0080, 2013-03-27T07:41:35.9450,0xFF0000, Charging, -2.21637
2013-03-27T08:22:44.0300, 2013-03-27T08:23:10.9680,0xFF0000, Charging, -1.64797
2013-03-27T08:47:07.1320, 2013-03-27T09:08:41.3600,0xFF0000, Charging, 7.87747
2013-03-27T09:26:07.4680, 2013-03-27T09:59:44.4970,0xFF0000, Charging, 22.3125
2013-03-27T15:38:29.0430, 2013-03-27T15:43:55.9750,0xFF0000, Charging, -0.690471
2013-03-27T17:23:22.2540, 2013-03-27T18:02:31.1540,0xFF0000, Charging, 45.8267
2013-03-28T00:31:44.0270, 2013-03-28T00:33:47.3370,0xFF0000, Charging, 23.1785
2013-03-28T00:40:30.1430, 2013-03-28T00:41:57.8920,0xFF0000, Charging, 188.163
2013-03-28T01:03:19.7460, 2013-03-28T01:03:22.8080,0xFF0000, Charging, 26.2913
2013-03-28T01:35:52.0260, 2013-03-28T01:35:52.7140,0xFF0000, Charging, 25.7839
2013-03-28T02:21:17.2330, 2013-03-28T02:21:59.7320,0xFF0000, Charging, 19.9741
2013-03-28T09:32:29.0030, 2013-03-28T09:32:45.9400,0xFF0000, Charging, -1.84253
2013-03-28T11:20:29.4600, 2013-03-28T11:21:11.7090,0xFF0000, Charging, 27.9202
2013-03-29T03:33:24.0130, 2013-03-29T03:44:05.9400,0xFF0000, Charging, -2.76951
2013-03-29T05:19:47.7220, 2013-03-29T08:09:37.1220,0xFF0000, Charging, 194.991
2013-03-29T12:32:44.0530, 2013-03-29T12:33:00.9900,0xFF0000, Charging, -11.4176
2013-03-29T14:18:56.0740, 2013-03-29T15:46:14.3660,0xFF0000, Charging, 66.9947
2013-03-29T15:51:12.6740, 2013-03-29T15:51:27.4240,0xFF0000, Charging, 21.1299
2013-03-29T15:54:17.5460, 2013-03-29T16:07:37.2210,0xFF0000, Charging, 54.1237
2013-03-29T16:09:43.4060, 2013-03-29T16:45:46.4340,0xFF0000, Charging, 69.1615
2013-03-29T22:19:24.0470, 2013-03-29T22:36:00.9690,0xFF0000, Charging, -1.81201
2013-03-29T23:17:28.6170, 2013-03-29T23:19:27.4280,0xFF0000, Charging, 32.3720
2013-03-29T23:27:20.6700, 2013-03-29T23:29:03.0430,0xFF0000, Charging, 2.65888
2013-03-31T19:43:04.0220, 2013-03-31T19:51:20.9510,0xFF0000, Charging, -2.05615
2013-03-31T19:53:34.0120, 2013-03-31T19:54:50.9480,0xFF0000, Charging, -2.05234
2013-03-31T20:09:29.0590, 2013-03-31T20:09:50.9960,0xFF0000, Charging, -0.602731
2013-04-01T05:10:14.0350, 2013-04-01T05:10:30.9720,0xFF0000, Charging, -2.95262
2013-04-01T12:33:29.0450, 2013-04-01T12:33:40.9820,0xFF0000, Charging, -4.67689
2013-04-01T14:08:34.0140, 2013-04-01T14:08:45.9520,0xFF0000, Charging, -4.26490
2013-04-01T23:07:04.0570, 2013-04-01T23:07:15.9940,0xFF0000, Charging, -4.33738
2013-04-03T02:02:14.0580, 2013-04-03T02:02:25.9960,0xFF0000, Charging, -4.31067
