Start Time, End Time, Color, Eclipse
2012-09-01T06:10:10.000000000, 2012-09-01T06:38:14.000000000,0xFF0000, ECLIPSE
2012-09-01T15:09:15.000000000, 2012-09-01T15:37:23.000000000,0xFF0000, ECLIPSE
2012-09-02T00:08:20.000000000, 2012-09-02T00:36:32.000000000,0xFF0000, ECLIPSE
2012-09-02T09:07:26.000000000, 2012-09-02T09:35:40.000000000,0xFF0000, ECLIPSE
2012-09-02T18:06:31.000000000, 2012-09-02T18:34:49.000000000,0xFF0000, ECLIPSE
2012-09-03T03:05:36.000000000, 2012-09-03T03:33:58.000000000,0xFF0000, ECLIPSE
2012-09-03T12:04:41.000000000, 2012-09-03T12:33:07.000000000,0xFF0000, ECLIPSE
2012-09-03T21:03:47.000000000, 2012-09-03T21:32:16.000000000,0xFF0000, ECLIPSE
2012-09-04T06:02:52.000000000, 2012-09-04T06:31:24.000000000,0xFF0000, ECLIPSE
2012-09-04T15:01:58.000000000, 2012-09-04T15:30:33.000000000,0xFF0000, ECLIPSE
2012-09-05T00:00:59.000000000, 2012-09-05T00:29:38.000000000,0xFF0000, ECLIPSE
2012-09-05T08:59:59.000000000, 2012-09-05T09:28:42.000000000,0xFF0000, ECLIPSE
2012-09-05T17:59:00.000000000, 2012-09-05T18:27:47.000000000,0xFF0000, ECLIPSE
2012-09-06T02:58:01.000000000, 2012-09-06T03:26:51.000000000,0xFF0000, ECLIPSE
2012-09-06T11:57:02.000000000, 2012-09-06T12:25:56.000000000,0xFF0000, ECLIPSE
2012-09-06T20:56:02.000000000, 2012-09-06T21:25:00.000000000,0xFF0000, ECLIPSE
2012-09-07T05:55:03.000000000, 2012-09-07T06:24:04.000000000,0xFF0000, ECLIPSE
2012-09-07T14:54:04.000000000, 2012-09-07T15:23:09.000000000,0xFF0000, ECLIPSE
2012-09-07T23:53:05.000000000, 2012-09-08T00:22:14.000000000,0xFF0000, ECLIPSE
2012-09-08T08:52:06.000000000, 2012-09-08T09:21:19.000000000,0xFF0000, ECLIPSE
2012-09-08T17:50:54.000000000, 2012-09-08T18:20:10.000000000,0xFF0000, ECLIPSE
2012-09-09T02:49:41.000000000, 2012-09-09T03:19:02.000000000,0xFF0000, ECLIPSE
2012-09-09T11:48:29.000000000, 2012-09-09T12:17:53.000000000,0xFF0000, ECLIPSE
2012-09-09T20:47:17.000000000, 2012-09-09T21:16:45.000000000,0xFF0000, ECLIPSE
2012-09-10T05:46:05.000000000, 2012-09-10T06:15:36.000000000,0xFF0000, ECLIPSE
2012-09-10T14:44:52.000000000, 2012-09-10T15:14:28.000000000,0xFF0000, ECLIPSE
2012-09-10T23:43:40.000000000, 2012-09-11T00:13:20.000000000,0xFF0000, ECLIPSE
2012-09-11T08:42:28.000000000, 2012-09-11T09:12:12.000000000,0xFF0000, ECLIPSE
2012-09-11T17:41:16.000000000, 2012-09-11T18:11:03.000000000,0xFF0000, ECLIPSE
2012-09-12T02:40:04.000000000, 2012-09-12T03:09:55.000000000,0xFF0000, ECLIPSE
2012-09-12T11:38:52.000000000, 2012-09-12T12:08:47.000000000,0xFF0000, ECLIPSE
2012-09-12T20:37:40.000000000, 2012-09-12T21:07:39.000000000,0xFF0000, ECLIPSE
2012-09-13T05:36:28.000000000, 2012-09-13T06:06:31.000000000,0xFF0000, ECLIPSE
2012-09-13T14:35:16.000000000, 2012-09-13T15:05:23.000000000,0xFF0000, ECLIPSE
2012-09-13T23:34:04.000000000, 2012-09-14T00:04:15.000000000,0xFF0000, ECLIPSE
2012-09-14T08:32:52.000000000, 2012-09-14T09:03:07.000000000,0xFF0000, ECLIPSE
2012-09-14T17:31:40.000000000, 2012-09-14T18:01:59.000000000,0xFF0000, ECLIPSE
2012-09-15T02:30:27.000000000, 2012-09-15T03:00:51.000000000,0xFF0000, ECLIPSE
2012-09-15T11:29:15.000000000, 2012-09-15T11:59:43.000000000,0xFF0000, ECLIPSE
2012-09-15T20:28:03.000000000, 2012-09-15T20:58:35.000000000,0xFF0000, ECLIPSE
2012-09-16T05:26:50.000000000, 2012-09-16T05:57:26.000000000,0xFF0000, ECLIPSE
2012-09-16T14:25:38.000000000, 2012-09-16T14:56:18.000000000,0xFF0000, ECLIPSE
2012-09-16T23:24:25.000000000, 2012-09-16T23:55:10.000000000,0xFF0000, ECLIPSE
2012-09-17T08:23:13.000000000, 2012-09-17T08:54:02.000000000,0xFF0000, ECLIPSE
2012-09-17T17:22:01.000000000, 2012-09-17T17:52:54.000000000,0xFF0000, ECLIPSE
2012-09-18T02:20:48.000000000, 2012-09-18T02:51:45.000000000,0xFF0000, ECLIPSE
2012-09-18T11:19:35.000000000, 2012-09-18T11:50:37.000000000,0xFF0000, ECLIPSE
2012-09-18T20:18:23.000000000, 2012-09-18T20:49:29.000000000,0xFF0000, ECLIPSE
2012-09-19T05:17:10.000000000, 2012-09-19T05:48:21.000000000,0xFF0000, ECLIPSE
2012-09-19T14:15:58.000000000, 2012-09-19T14:47:12.000000000,0xFF0000, ECLIPSE
2012-09-19T23:14:45.000000000, 2012-09-19T23:46:04.000000000,0xFF0000, ECLIPSE
2012-09-20T08:13:33.000000000, 2012-09-20T08:44:56.000000000,0xFF0000, ECLIPSE
2012-09-20T17:12:20.000000000, 2012-09-20T17:43:48.000000000,0xFF0000, ECLIPSE
2012-09-21T02:11:08.000000000, 2012-09-21T02:42:40.000000000,0xFF0000, ECLIPSE
2012-09-21T11:09:56.000000000, 2012-09-21T11:41:32.000000000,0xFF0000, ECLIPSE
2012-09-21T20:08:44.000000000, 2012-09-21T20:40:25.000000000,0xFF0000, ECLIPSE
2012-09-22T05:07:32.000000000, 2012-09-22T05:39:17.000000000,0xFF0000, ECLIPSE
2012-09-22T14:06:19.000000000, 2012-09-22T14:38:09.000000000,0xFF0000, ECLIPSE
2012-09-22T23:05:08.000000000, 2012-09-22T23:37:01.000000000,0xFF0000, ECLIPSE
2012-09-23T08:03:56.000000000, 2012-09-23T08:35:54.000000000,0xFF0000, ECLIPSE
2012-09-23T17:02:44.000000000, 2012-09-23T17:34:46.000000000,0xFF0000, ECLIPSE
2012-09-24T02:01:32.000000000, 2012-09-24T02:33:39.000000000,0xFF0000, ECLIPSE
2012-09-24T11:00:20.000000000, 2012-09-24T11:32:31.000000000,0xFF0000, ECLIPSE
2012-09-24T19:59:08.000000000, 2012-09-24T20:31:24.000000000,0xFF0000, ECLIPSE
2012-09-25T04:57:56.000000000, 2012-09-25T05:30:16.000000000,0xFF0000, ECLIPSE
2012-09-25T13:56:45.000000000, 2012-09-25T14:29:09.000000000,0xFF0000, ECLIPSE
2012-09-25T22:55:33.000000000, 2012-09-25T23:28:01.000000000,0xFF0000, ECLIPSE
2012-09-26T07:54:21.000000000, 2012-09-26T08:26:54.000000000,0xFF0000, ECLIPSE
2012-09-26T16:53:09.000000000, 2012-09-26T17:25:47.000000000,0xFF0000, ECLIPSE
2012-09-27T01:51:57.000000000, 2012-09-27T02:24:39.000000000,0xFF0000, ECLIPSE
2012-09-27T10:50:46.000000000, 2012-09-27T11:23:32.000000000,0xFF0000, ECLIPSE
2012-09-27T19:49:34.000000000, 2012-09-27T20:22:24.000000000,0xFF0000, ECLIPSE
2012-09-28T04:48:21.000000000, 2012-09-28T05:21:17.000000000,0xFF0000, ECLIPSE
2012-09-28T13:47:09.000000000, 2012-09-28T14:20:09.000000000,0xFF0000, ECLIPSE
2012-09-28T22:45:58.000000000, 2012-09-28T23:19:01.000000000,0xFF0000, ECLIPSE
2012-09-29T07:44:46.000000000, 2012-09-29T08:17:54.000000000,0xFF0000, ECLIPSE
2012-09-29T16:43:33.000000000, 2012-09-29T17:16:46.000000000,0xFF0000, ECLIPSE
2012-09-30T01:42:21.000000000, 2012-09-30T02:15:38.000000000,0xFF0000, ECLIPSE
2012-09-30T10:41:09.000000000, 2012-09-30T11:14:30.000000000,0xFF0000, ECLIPSE
2012-09-30T19:39:56.000000000, 2012-09-30T20:13:22.000000000,0xFF0000, ECLIPSE
2012-10-01T04:38:44.000000000, 2012-10-01T05:12:14.000000000,0xFF0000, ECLIPSE
2012-10-01T13:37:32.000000000, 2012-10-01T14:11:07.000000000,0xFF0000, ECLIPSE
2012-10-01T22:36:19.000000000, 2012-10-01T23:09:58.000000000,0xFF0000, ECLIPSE
2012-10-02T07:35:07.000000000, 2012-10-02T08:08:50.000000000,0xFF0000, ECLIPSE
