Start Time, End Time, Color, Thruster
2012-09-02T14:52:09.000000000, 2012-09-02T14:53:10.000000000,0xFF0000, Thruster
2012-09-02T14:54:57.000000000, 2012-09-02T14:55:58.000000000,0xFF0000, Thruster2
2012-09-03T17:01:37.000000000, 2012-09-03T17:23:00.000000000,0xFF0000, Thruster
2012-09-03T17:01:37.000000000, 2012-09-03T17:23:05.000000000,0xFF0000, Thruster2
2012-09-04T19:09:54.000000000, 2012-09-04T19:13:05.000000000,0xFF0000, Thruster
2012-09-04T19:09:54.000000000, 2012-09-04T19:13:05.000000000,0xFF0000, Thruster2
2012-09-08T08:35:59.000000000, 2012-09-08T08:38:11.000000000,0xFF0000, Thruster
2012-09-08T08:35:59.000000000, 2012-09-08T08:38:10.000000000,0xFF0000, Thruster2
2012-09-09T18:00:24.000000000, 2012-09-09T18:22:14.000000000,0xFF0000, Thruster
2012-09-12T17:45:32.000000000, 2012-09-12T17:59:16.000000000,0xFF0000, Thruster
2012-09-13T12:00:09.000000000, 2012-09-13T12:20:50.000000000,0xFF0000, Thruster
2012-09-13T12:00:09.000000000, 2012-09-13T12:20:50.000000000,0xFF0000, Thruster2
2012-09-16T11:15:04.000000000, 2012-09-16T12:49:36.000000000,0xFF0000, Thruster
2012-09-16T11:15:04.000000000, 2012-09-16T12:49:36.000000000,0xFF0000, Thruster2
2012-09-20T14:30:08.000000000, 2012-09-20T15:37:22.000000000,0xFF0000, Thruster
2012-09-20T14:30:08.000000000, 2012-09-20T15:37:22.000000000,0xFF0000, Thruster2
2012-09-26T22:47:07.000000000, 2012-09-27T00:37:59.000000000,0xFF0000, Thruster
2012-10-01T10:30:10.000000000, 2012-10-01T11:17:49.000000000,0xFF0000, Thruster
2012-10-08T13:51:02.000000000, 2012-10-08T16:02:42.000000000,0xFF0000, Thruster
2012-10-26T16:31:31.000000000, 2012-10-26T20:03:53.000000000,0xFF0000, Thruster
2012-11-15T12:31:07.000000000, 2012-11-15T15:52:59.000000000,0xFF0000, Thruster
2012-12-06T20:01:06.000000000, 2012-12-06T23:23:47.000000000,0xFF0000, Thruster
2012-12-20T16:00:07.000000000, 2012-12-20T17:59:31.000000000,0xFF0000, Thruster
2013-01-10T14:45:01.000000000, 2013-01-10T17:52:27.000000000,0xFF0000, Thruster
