Start Time, End Time, Color, Eclipse
2012-09-01T06:21:54.000000000, 2012-09-01T06:49:58.000000000,0xFF0000, ECLIPSE
2012-09-01T15:23:20.000000000, 2012-09-01T15:51:27.000000000,0xFF0000, ECLIPSE
2012-09-02T00:24:46.000000000, 2012-09-02T00:52:57.000000000,0xFF0000, ECLIPSE
2012-09-02T09:26:12.000000000, 2012-09-02T09:54:26.000000000,0xFF0000, ECLIPSE
2012-09-02T18:27:38.000000000, 2012-09-02T18:55:56.000000000,0xFF0000, ECLIPSE
2012-09-03T03:29:04.000000000, 2012-09-03T03:57:25.000000000,0xFF0000, ECLIPSE
2012-09-03T12:30:30.000000000, 2012-09-03T12:58:55.000000000,0xFF0000, ECLIPSE
2012-09-03T21:31:56.000000000, 2012-09-03T22:00:24.000000000,0xFF0000, ECLIPSE
2012-09-04T06:33:22.000000000, 2012-09-04T07:01:54.000000000,0xFF0000, ECLIPSE
2012-09-04T15:34:48.000000000, 2012-09-04T16:03:23.000000000,0xFF0000, ECLIPSE
2012-09-05T00:36:14.000000000, 2012-09-05T01:04:52.000000000,0xFF0000, ECLIPSE
2012-09-05T09:37:40.000000000, 2012-09-05T10:06:22.000000000,0xFF0000, ECLIPSE
2012-09-05T18:39:09.000000000, 2012-09-05T19:07:55.000000000,0xFF0000, ECLIPSE
2012-09-06T03:40:39.000000000, 2012-09-06T04:09:29.000000000,0xFF0000, ECLIPSE
2012-09-06T12:42:09.000000000, 2012-09-06T13:11:03.000000000,0xFF0000, ECLIPSE
2012-09-06T21:43:39.000000000, 2012-09-06T22:12:37.000000000,0xFF0000, ECLIPSE
2012-09-07T06:45:09.000000000, 2012-09-07T07:14:10.000000000,0xFF0000, ECLIPSE
2012-09-07T15:46:40.000000000, 2012-09-07T16:15:44.000000000,0xFF0000, ECLIPSE
2012-09-08T00:48:10.000000000, 2012-09-08T01:17:18.000000000,0xFF0000, ECLIPSE
2012-09-08T09:49:40.000000000, 2012-09-08T10:18:52.000000000,0xFF0000, ECLIPSE
2012-09-08T18:51:24.000000000, 2012-09-08T19:20:40.000000000,0xFF0000, ECLIPSE
