#Start Time, End Time, Color, Thruster
2012-09-02T16:01:08.000000000, 2012-09-02T16:02:09.000000000,0xFF0000, Thruster
2012-09-02T16:07:37.000000000, 2012-09-02T16:08:38.000000000,0xFF0000, Thruster2
2012-09-03T19:15:19.000000000, 2012-09-03T19:36:42.000000000,0xFF0000, Thruster
2012-09-03T19:15:19.000000000, 2012-09-03T19:36:42.000000000,0xFF0000, Thruster2
2012-09-05T14:04:59.000000000, 2012-09-05T14:08:10.000000000,0xFF0000, Thruster
2012-09-05T14:04:59.000000000, 2012-09-05T14:08:10.000000000,0xFF0000, Thruster2
2012-09-08T09:36:00.000000000, 2012-09-08T09:38:11.000000000,0xFF0000, Thruster
2012-09-08T09:36:00.000000000, 2012-09-08T09:38:11.000000000,0xFF0000, Thruster2
2012-09-09T18:30:42.000000000, 2012-09-09T18:52:37.000000000,0xFF0000, Thruster
2012-09-12T20:10:38.000000000, 2012-09-12T20:23:39.000000000,0xFF0000, Thruster
2012-09-13T14:15:18.000000000, 2012-09-13T14:35:59.000000000,0xFF0000, Thruster
2012-09-13T14:15:18.000000000, 2012-09-13T14:35:59.000000000,0xFF0000, Thruster2
2012-09-16T14:00:05.000000000, 2012-09-16T15:33:34.000000000,0xFF0000, Thruster
2012-09-16T14:00:10.000000000, 2012-09-16T15:33:18.000000000,0xFF0000, Thruster2
2012-09-20T17:30:16.000000000, 2012-09-20T18:38:12.000000000,0xFF0000, Thruster
2012-09-20T17:30:16.000000000, 2012-09-20T18:38:12.000000000,0xFF0000, Thruster2
2012-09-26T16:15:28.000000000, 2012-09-26T17:59:41.000000000,0xFF0000, Thruster
2012-10-01T15:46:30.000000000, 2012-10-01T16:38:31.000000000,0xFF0000, Thruster
2012-10-08T18:32:19.000000000, 2012-10-08T20:38:20.000000000,0xFF0000, Thruster
2012-10-26T14:32:12.000000000, 2012-10-26T17:52:43.000000000,0xFF0000, Thruster
2012-11-15T13:17:12.000000000, 2012-11-15T16:34:24.000000000,0xFF0000, Thruster
2012-12-06T14:40:12.000000000, 2012-12-06T17:49:53.000000000,0xFF0000, Thruster
2012-12-20T12:30:06.000000000, 2012-12-20T14:23:29.000000000,0xFF0000, Thruster
2013-01-10T15:00:25.000000000, 2013-01-10T17:52:07.000000000,0xFF0000, Thruster
2013-01-31T15:30:10.000000000, 2013-01-31T18:23:51.000000000,0xFF0000, Thruster
2013-02-21T17:15:49.000000000, 2013-02-21T20:28:03.000000000,0xFF0000, Thruster
2013-03-14T13:31:36.000000000, 2013-03-14T16:02:25.000000000,0xFF0000, Thruster
2013-03-20T14:20:52.000000000, 2013-03-20T20:17:47.000000000,0xFF0000, Thruster
2013-04-04T15:31:14.000000000, 2013-04-04T17:43:10.000000000,0xFF0000, Thruster
2013-04-25T13:31:01.000000000, 2013-04-25T16:47:00.000000000,0xFF0000, Thruster
2013-05-16T09:45:20.000000000, 2013-05-16T13:12:34.000000000,0xFF0000, Thruster
2013-06-06T12:15:27.000000000, 2013-06-06T16:04:07.000000000,0xFF0000, Thruster
2013-06-27T11:45:24.000000000, 2013-06-27T14:34:22.000000000,0xFF0000, Thruster
2013-07-17T10:45:20.000000000, 2013-07-17T13:15:00.000000000,0xFF0000, Thruster
2013-08-08T05:30:34.000000000, 2013-08-08T08:10:11.000000000,0xFF0000, Thruster
2013-08-29T21:40:36.000000000, 2013-08-30T00:02:56.000000000,0xFF0000, Thruster
2013-09-19T09:31:39.000000000, 2013-09-19T11:38:20.000000000,0xFF0000, Thruster
2013-09-25T14:31:05.000000000, 2013-09-25T20:30:39.000000000,0xFF0000, Thruster
2013-10-10T15:45:57.000000000, 2013-10-10T17:50:16.000000000,0xFF0000, Thruster
2013-10-31T17:21:08.000000000, 2013-10-31T20:05:21.000000000,0xFF0000, Thruster
2013-11-21T19:15:35.000000000, 2013-11-21T21:57:25.000000000,0xFF0000, Thruster
2013-12-12T20:41:24.000000000, 2013-12-12T23:29:22.000000000,0xFF0000, Thruster
2013-12-19T15:11:13.000000000, 2013-12-19T16:02:34.000000000,0xFF0000, Thruster
2014-01-13T20:00:38.000000000, 2014-01-13T23:40:47.000000000,0xFF0000, Thruster
2014-01-30T18:15:20.000000000, 2014-01-30T20:44:00.000000000,0xFF0000, Thruster
2014-02-20T13:00:43.000000000, 2014-02-20T15:57:48.000000000,0xFF0000, Thruster
2014-03-13T13:01:09.000000000, 2014-03-13T15:59:49.000000000,0xFF0000, Thruster
2014-03-20T16:15:48.000000000, 2014-03-20T22:42:39.000000000,0xFF0000, Thruster
2014-04-03T14:15:40.000000000, 2014-04-03T15:49:37.000000000,0xFF0000, Thruster
2014-04-24T16:16:05.000000000, 2014-04-24T18:31:06.000000000,0xFF0000, Thruster
2014-05-15T12:00:41.000000000, 2014-05-15T14:17:29.000000000,0xFF0000, Thruster
2014-06-05T14:01:16.000000000, 2014-06-05T16:21:29.000000000,0xFF0000, Thruster
2014-06-05T14:01:16.000000000, 2014-06-05T16:21:29.000000000,0xFF0000, Thruster
2014-06-26T15:00:51.000000000, 2014-06-26T17:21:25.000000000,0xFF0000, Thruster
2014-07-17T16:30:25.000000000, 2014-07-17T19:01:27.000000000,0xFF0000, Thruster
2014-08-07T18:30:35.000000000, 2014-08-07T21:02:19.000000000,0xFF0000, Thruster
2014-08-28T12:10:28.000000000, 2014-08-28T14:22:18.000000000,0xFF0000, Thruster
2014-09-09T20:00:26.000000000, 2014-09-09T20:00:57.000000000,0xFF0000, Thruster
2014-09-09T20:00:26.000000000, 2014-09-09T20:00:57.000000000,0xFF0000, Thruster2
2014-09-18T17:45:48.000000000, 2014-09-18T20:03:24.000000000,0xFF0000, Thruster
2014-09-25T13:15:29.000000000, 2014-09-25T18:50:14.000000000,0xFF0000, Thruster
2014-10-09T11:45:30.000000000, 2014-10-09T13:29:40.000000000,0xFF0000, Thruster
2014-10-30T13:00:32.000000000, 2014-10-30T16:04:16.000000000,0xFF0000, Thruster
2014-11-20T15:15:43.000000000, 2014-11-20T18:09:07.000000000,0xFF0000, Thruster
2014-12-11T14:31:08.000000000, 2014-12-11T17:10:26.000000000,0xFF0000, Thruster
2014-12-18T13:30:51.000000000, 2014-12-18T14:13:05.000000000,0xFF0000, Thruster
2015-01-08T13:30:51.000000000, 2015-01-08T15:57:29.000000000,0xFF0000, Thruster
2015-01-23T18:10:34.000000000, 2015-01-23T18:11:45.000000000,0xFF0000, Thruster
2015-01-23T18:10:34.000000000, 2015-01-23T18:11:45.000000000,0xFF0000, Thruster2
2015-02-06T12:20:35.000000000, 2015-02-06T15:42:11.000000000,0xFF0000, Thruster
2015-02-19T17:00:56.000000000, 2015-02-19T17:19:54.000000000,0xFF0000, Thruster
2015-03-12T16:01:02.000000000, 2015-03-12T18:44:20.000000000,0xFF0000, Thruster
2015-03-30T09:50:38.000000000, 2015-03-30T12:06:30.000000000,0xFF0000, Thruster
2015-04-03T17:45:32.000000000, 2015-04-03T17:47:47.000000000,0xFF0000, Thruster
2015-04-03T17:45:32.000000000, 2015-04-03T17:47:47.000000000,0xFF0000, Thruster2
2015-04-16T16:20:41.000000000, 2015-04-16T18:40:28.000000000,0xFF0000, Thruster
2015-05-04T12:10:42.000000000, 2015-05-04T14:46:16.000000000,0xFF0000, Thruster
2015-05-22T12:30:39.000000000, 2015-05-22T13:40:09.000000000,0xFF0000, Thruster
2015-05-22T12:30:39.000000000, 2015-05-22T15:04:10.000000000,0xFF0000, Thruster
2015-06-08T12:00:42.000000000, 2015-06-08T14:28:34.000000000,0xFF0000, Thruster
2015-06-29T21:20:47.000000000, 2015-06-29T23:59:34.000000000,0xFF0000, Thruster
2015-06-30T00:00:04.000000000, 2015-06-30T00:35:52.000000000,0xFF0000, Thruster
2015-07-09T21:01:07.000000000, 2015-07-09T22:29:12.000000000,0xFF0000, Thruster
2015-07-31T16:30:42.000000000, 2015-07-31T18:40:38.000000000,0xFF0000, Thruster
2015-08-20T15:21:15.000000000, 2015-08-20T20:14:26.000000000,0xFF0000, Thruster
2015-08-20T20:10:44.000000000, 2015-08-20T20:14:26.000000000,0xFF0000, Thruster2
2015-09-10T17:00:46.000000000, 2015-09-10T19:49:59.000000000,0xFF0000, Thruster
2015-09-30T16:01:45.000000000, 2015-09-30T18:28:39.000000000,0xFF0000, Thruster
2015-09-30T16:01:45.000000000, 2015-09-30T18:28:39.000000000,0xFF0000, Thruster
2015-10-09T15:13:45.000000000, 2015-10-09T15:36:19.000000000,0xFF0000, Thruster
2015-10-09T15:13:45.000000000, 2015-10-09T15:36:19.000000000,0xFF0000, Thruster2
2015-10-09T15:13:45.000000000, 2015-10-09T15:36:19.000000000,0xFF0000, Thruster
2015-10-09T15:13:45.000000000, 2015-10-09T15:36:19.000000000,0xFF0000, Thruster2
2015-10-22T15:15:43.000000000, 2015-10-22T17:52:01.000000000,0xFF0000, Thruster
2015-10-22T15:15:43.000000000, 2015-10-22T17:52:01.000000000,0xFF0000, Thruster
2015-11-12T15:46:47.000000000, 2015-11-12T16:43:53.000000000,0xFF0000, Thruster
2015-12-03T17:46:08.000000000, 2015-12-03T20:07:46.000000000,0xFF0000, Thruster
2015-12-17T17:15:45.000000000, 2015-12-17T18:47:58.000000000,0xFF0000, Thruster
2016-01-07T13:46:37.000000000, 2016-01-07T16:17:09.000000000,0xFF0000, Thruster
2016-01-07T13:46:37.000000000, 2016-01-07T16:17:09.000000000,0xFF0000, Thruster
2016-01-28T14:00:48.000000000, 2016-01-28T16:46:02.000000000,0xFF0000, Thruster
2016-02-18T18:31:39.000000000, 2016-02-18T21:21:33.000000000,0xFF0000, Thruster
2016-03-10T14:00:48.000000000, 2016-03-10T17:01:10.000000000,0xFF0000, Thruster
2016-03-31T15:30:52.000000000, 2016-03-31T18:26:35.000000000,0xFF0000, Thruster
2016-04-21T12:00:46.000000000, 2016-04-21T14:10:36.000000000,0xFF0000, Thruster
2016-05-10T20:35:43.000000000, 2016-05-10T20:36:14.000000000,0xFF0000, Thruster
2016-05-10T20:35:43.000000000, 2016-05-10T20:36:14.000000000,0xFF0000, Thruster2
2016-05-12T14:30:51.000000000, 2016-05-12T17:24:12.000000000,0xFF0000, Thruster
2016-05-26T14:41:09.000000000, 2016-05-26T16:27:46.000000000,0xFF0000, Thruster
2016-06-16T13:00:50.000000000, 2016-06-16T16:05:49.000000000,0xFF0000, Thruster
2016-06-30T20:41:30.000000000, 2016-06-30T22:41:38.000000000,0xFF0000, Thruster
2016-07-21T14:45:55.000000000, 2016-07-21T17:55:38.000000000,0xFF0000, Thruster
2016-08-04T15:30:49.000000000, 2016-08-04T17:22:08.000000000,0xFF0000, Thruster
2016-08-25T17:31:05.000000000, 2016-08-25T20:25:35.000000000,0xFF0000, Thruster
2016-09-15T14:15:56.000000000, 2016-09-15T17:10:31.000000000,0xFF0000, Thruster
2016-10-06T15:50:56.000000000, 2016-10-06T18:35:27.000000000,0xFF0000, Thruster
2016-10-16T14:30:50.000000000, 2016-10-16T14:31:21.000000000,0xFF0000, Thruster
2016-10-16T14:30:50.000000000, 2016-10-16T14:31:21.000000000,0xFF0000, Thruster2
2016-10-27T12:31:13.000000000, 2016-10-27T15:10:15.000000000,0xFF0000, Thruster
2016-11-21T19:25:46.000000000, 2016-11-21T22:35:38.000000000,0xFF0000, Thruster
2016-12-14T22:30:51.000000000, 2016-12-14T23:59:48.000000000,0xFF0000, Thruster
2016-12-15T00:00:18.000000000, 2016-12-15T00:59:14.000000000,0xFF0000, Thruster
2017-01-05T19:05:59.000000000, 2017-01-05T21:25:17.000000000,0xFF0000, Thruster
2017-01-31T19:11:06.000000000, 2017-01-31T21:50:02.000000000,0xFF0000, Thruster
2017-02-23T19:31:20.000000000, 2017-02-23T21:55:34.000000000,0xFF0000, Thruster
2017-03-16T22:10:55.000000000, 2017-03-16T23:59:55.000000000,0xFF0000, Thruster
2017-03-17T00:00:04.000000000, 2017-03-17T00:35:27.000000000,0xFF0000, Thruster
2017-03-17T00:00:04.000000000, 2017-03-17T00:35:27.000000000,0xFF0000, Thruster
2017-04-06T16:10:58.000000000, 2017-04-06T17:24:46.000000000,0xFF0000, Thruster
2017-04-06T16:10:58.000000000, 2017-04-06T18:44:37.000000000,0xFF0000, Thruster
2017-04-26T15:56:20.000000000, 2017-04-26T18:32:47.000000000,0xFF0000, Thruster
2017-04-26T15:56:20.000000000, 2017-04-26T18:44:30.000000000,0xFF0000, Thruster
2017-05-17T19:06:06.000000000, 2017-05-17T21:59:22.000000000,0xFF0000, Thruster
