MAVEN LPW LP Sweep DAC-to-sweep voltage calibration Wed Sep 03 15:19:55 2014
DAC Step	V1	V2
0	49.5119	49.3390
1	49.4884	49.3157
2	49.4650	49.2923
3	49.4414	49.2688
4	49.4177	49.2452
5	49.3939	49.2215
6	49.3699	49.1976
7	49.3459	49.1737
8	49.3219	49.1497
9	49.2980	49.1257
10	49.2740	49.1017
11	49.2500	49.0777
12	49.2260	49.0537
13	49.2019	49.0298
14	49.1778	49.0059
15	49.1537	48.9820
16	49.1296	48.9581
17	49.1055	48.9341
18	49.0814	48.9100
19	49.0574	48.8859
20	49.0333	48.8618
21	49.0092	48.8378
22	48.9852	48.8137
23	48.9612	48.7897
24	48.9371	48.7657
25	48.9130	48.7417
26	48.8889	48.7176
27	48.8649	48.6936
28	48.8408	48.6695
29	48.8168	48.6453
30	48.7928	48.6211
31	48.7688	48.5969
32	48.7448	48.5728
33	48.7208	48.5488
34	48.6967	48.5248
35	48.6726	48.5008
36	48.6486	48.4768
37	48.6246	48.4527
38	48.6006	48.4287
39	48.5766	48.4046
40	48.5526	48.3805
41	48.5285	48.3565
42	48.5043	48.3324
43	48.4802	48.3084
44	48.4561	48.2844
45	48.4321	48.2604
46	48.4081	48.2364
47	48.3841	48.2123
48	48.3601	48.1883
49	48.3361	48.1642
50	48.3121	48.1402
51	48.2882	48.1161
52	48.2642	48.0920
53	48.2402	48.0680
54	48.2163	48.0440
55	48.1923	48.0199
56	48.1683	47.9959
57	48.1443	47.9718
58	48.1202	47.9477
59	48.0962	47.9236
60	48.0721	47.8994
61	48.0480	47.8753
62	48.0239	47.8511
63	47.9998	47.8269
64	47.9757	47.8027
65	47.9517	47.7784
66	47.9276	47.7541
67	47.9036	47.7297
68	47.8796	47.7054
69	47.8556	47.6812
70	47.8315	47.6570
71	47.8075	47.6328
72	47.7835	47.6087
73	47.7595	47.5845
74	47.7356	47.5604
75	47.7117	47.5363
76	47.6877	47.5122
77	47.6637	47.4882
78	47.6397	47.4642
79	47.6156	47.4402
80	47.5915	47.4161
81	47.5673	47.3919
82	47.5430	47.3677
83	47.5187	47.3435
84	47.4944	47.3192
85	47.4703	47.2950
86	47.4462	47.2707
87	47.4221	47.2465
88	47.3980	47.2223
89	47.3737	47.1982
90	47.3493	47.1740
91	47.3250	47.1499
92	47.3007	47.1258
93	47.2766	47.1016
94	47.2525	47.0775
95	47.2285	47.0533
96	47.2044	47.0292
97	47.1802	47.0052
98	47.1561	46.9812
99	47.1319	46.9571
100	47.1077	46.9330
101	47.0835	46.9087
102	47.0594	46.8844
103	47.0352	46.8600
104	47.0111	46.8357
105	46.9871	46.8115
106	46.9630	46.7874
107	46.9390	46.7633
108	46.9149	46.7392
109	46.8907	46.7151
110	46.8664	46.6910
111	46.8421	46.6668
112	46.8178	46.6427
113	46.7936	46.6186
114	46.7695	46.5944
115	46.7454	46.5702
116	46.7214	46.5461
117	46.6975	46.5221
118	46.6736	46.4981
119	46.6496	46.4740
120	46.6253	46.4496
121	46.6007	46.4249
122	46.5759	46.4000
123	46.5509	46.3749
124	46.5258	46.3496
125	46.5005	46.3241
126	46.4751	46.2985
127	46.4498	46.2730
128	46.4248	46.2477
129	46.4004	46.2229
130	46.3763	46.1984
131	46.3524	46.1741
132	46.3285	46.1498
133	46.3044	46.1253
134	46.2802	46.1009
135	46.2560	46.0765
136	46.2319	46.0522
137	46.2078	46.0280
138	46.1838	46.0038
139	46.1597	45.9797
140	46.1357	45.9556
141	46.1116	45.9315
142	46.0876	45.9075
143	46.0635	45.8834
144	46.0394	45.8593
145	46.0152	45.8350
146	45.9910	45.8107
147	45.9668	45.7864
148	45.9427	45.7621
149	45.9187	45.7379
150	45.8948	45.7137
151	45.8709	45.6895
152	45.8469	45.6653
153	45.8228	45.6411
154	45.7987	45.6170
155	45.7746	45.5928
156	45.7506	45.5686
157	45.7267	45.5443
158	45.7029	45.5200
159	45.6790	45.4957
160	45.6551	45.4715
161	45.6310	45.4474
162	45.6069	45.4233
163	45.5827	45.3993
164	45.5586	45.3752
