act_background	pas_background	amp_response	f_low_hf	f_high_hf	center_freq_hf for rows 3-130
f_low_lf	f_high_lf	center_freq_lf	f_low_mf	f_high_mf	center_freq_mf for rows 131-186
254570	41551.3	1	0	2048	1024
63679.3	10398.3	1	2048	6144	4096
8.10802	4.97203	1	6144	10240	8192
4.82368	3.48951	1	10240	14336	12288
1.58367	3.58879	1	14336	18432	16384
1.28734	3.33304	1	18432	22528	20480
1.6737	3.34066	1	22528	26624	24576
2.93894	2.01424	1	26624	30720	28672
2.33467	1.40934	1	30720	34816	32768
1.2525	1.77522	1	34816	38912	36864
0.762862	1.19106	1	38912	43008	40960
0.31019	0.707542	1	43008	47104	45056
0.245005	0.385989	1	47104	51200	49152
0.152098	0.215035	1	51200	55296	53248
0.155594	0.234266	1	55296	59392	57344
0.236389	0.227023	1	59392	63488	61440
0.222777	0.228397	1	63488	67584	65536
0.106144	0.11014	1	67584	71680	69632
0.0730519	0.0337163	1	71680	75776	73728
0.0701798	0.0288462	1	75776	79872	77824
0.0601898	0.0213536	1	79872	83968	81920
0.0588162	0.0197303	1	83968	88064	86016
0.0588162	0.0166084	1	88064	92160	90112
0.0634366	0.0196054	1	92160	96256	94208
0.0822927	0.0497003	1	96256	100352	98304
0.0626873	0.0207293	1	100352	104448	102400
0.0570679	0.0182318	1	104448	108544	106496
0.0569431	0.0162338	1	108544	112640	110592
0.0614386	0.0166084	1	112640	116736	114688
0.0579421	0.015984	1	116736	120832	118784
0.0606893	0.0148601	1	120832	124928	122880
0.0911588	0.0764236	1	124928	129024	126976
0.196553	0.161588	1	129024	133120	131072
0.0969031	0.0826673	1	133120	137216	135168
0.0546953	0.014985	1	137216	141312	139264
0.0568182	0.0144855	1	141312	145408	143360
0.0579421	0.012987	1	145408	149504	147456
0.0573177	0.0153596	1	149504	153600	151552
0.0594406	0.0184815	1	153600	157696	155648
0.0599401	0.0168581	1	157696	161792	159744
0.0579421	0.0273477	1	161792	165888	163840
0.0548202	0.0197303	1	165888	169984	167936
0.0559441	0.0151099	1	169984	174080	172032
0.0593157	0.0137363	1	174080	178176	176128
0.0571928	0.0144855	1	178176	182272	180224
0.0524476	0.0152348	1	182272	186368	184320
0.0540709	0.0151099	1	186368	190464	188416
0.082043	0.0483267	1	190464	194560	192512
0.106893	0.11014	1	194560	202752	198656
0.0484516	0.00924076	1	202752	210944	206848
0.0477023	0.0121129	1	210944	219136	215040
0.0488262	0.0112388	1	219136	227328	223232
0.0490759	0.0141109	1	227328	235520	231424
0.0442058	0.00911588	1	235520	243712	239616
0.0423327	0.010989	1	243712	251904	247808
0.155345	0.162962	1	251904	260096	256000
0.627747	0.744505	1	260096	268288	264192
0.0420829	0.00974026	1	268288	276480	272384
0.0460789	0.00911588	1	276480	284672	280576
0.0487013	0.0118631	1	284672	292864	288768
0.0554446	0.0192308	1	292864	301056	296960
0.0458292	0.00886613	1	301056	309248	305152
0.0443307	0.00899101	1	309248	317440	313344
0.0902847	0.115385	1	317440	325632	321536
0.292582	0.29995	1	325632	333824	329728
0.0470779	0.00749251	1	333824	342016	337920
0.0487013	0.00899101	1	342016	350208	346112
0.0501998	0.017982	1	350208	358400	354304
0.0724276	0.086039	1	358400	366592	362496
0.0442058	0.00874126	1	366592	374784	370688
0.0440809	0.00949051	1	374784	382976	378880
0.0726773	0.0706793	1	382976	391168	387072
0.121753	0.124875	1	391168	407552	399360
0.0415834	0.00586913	1	407552	423936	415744
0.0524476	0.0414585	1	423936	440320	432128
0.0383367	0.00462038	1	440320	456704	448512
0.0566933	0.024975	1	456704	473088	464896
0.0413337	0.00599401	1	473088	489472	481280
0.0458292	0.0250999	1	489472	505856	497664
0.21516	0.237013	1	505856	522240	514048
0.932692	0.956419	1	522240	538624	530432
0.0397103	0.0034965	1	538624	555008	546816
0.0457043	0.0103646	1	555008	571392	563200
0.0945305	0.123751	1	571392	587776	579584
0.327797	0.365135	1	587776	604160	595968
0.0392108	0.00487013	1	604160	620544	612352
0.0475774	0.0284715	1	620544	636928	628736
0.110265	0.125125	1	636928	653312	645120
0.402223	0.455794	1	653312	669696	661504
0.0450799	0.00961538	1	669696	686080	677888
0.07505	0.0994006	1	686080	702464	694272
0.0779221	0.110889	1	702464	718848	710656
0.226773	0.258866	1	718848	735232	727040
0.0505744	0.0163586	1	735232	751616	743424
0.0977772	0.109765	1	751616	768000	759808
0.0490759	0.027972	1	768000	784384	776192
0.0650599	0.112512	1	784384	817152	800768
0.0861638	0.116883	1	817152	849920	833536
0.165335	0.154471	1	849920	882688	866304
0.132867	0.125	1	882688	915456	899072
0.437937	0.473277	1	915456	948224	931840
0.14473	0.125125	1	948224	980992	964608
0.453422	0.504121	1	980992	1013760	997376
0.28509	0.25025	1	1013760	1046528	1030144
0.985265	1.00437	1	1046528	1079296	1062912
0.116633	0.122378	1	1079296	1112064	1095680
0.108017	0.12525	1	1112064	1144832	1128448
0.151973	0.125	1	1144832	1177600	1161216
0.396853	0.402847	1	1177600	1210368	1193984
0.200799	0.194555	1	1210368	1243136	1226752
0.665709	0.688686	1	1243136	1275904	1259520
0.155844	0.125	1	1275904	1308672	1292288
0.267108	0.298327	1	1308672	1341440	1325056
0.165085	0.125	1	1341440	1374208	1357824
0.195055	0.221404	1	1374208	1406976	1390592
0.159341	0.125125	1	1406976	1439744	1423360
0.201049	0.203172	1	1439744	1472512	1456128
0.223651	0.195929	1	1472512	1505280	1488896
0.627747	0.637862	1	1505280	1538048	1521664
0.323302	0.303821	1	1538048	1570816	1554432
0.672203	0.682443	1	1570816	1636352	1603584
0.257742	0.253496	1	1636352	1701888	1669120
0.128496	0.125	1	1701888	1767424	1734656
0.189935	0.14011	1	1767424	1832960	1800192
0.348901	0.34016	1	1832960	1898496	1865728
0.285215	0.265609	1	1898496	1964032	1931264
0.177947	0.178946	1	1964032	2029568	1996800
8.6988	9.5964	1	2029568	2095104	2062336
0	0.5	0.25	32	0	16
0.5	1.5	1	96	32	64
1.5	2.5	2	160	96	128
2.5	3.5	3	224	160	192
3.5	4.5	4	288	224	256
4.5	5.5	5	352	288	320
5.5	6.5	6	416	352	384
6.5	7.5	7	480	416	448
7.5	8.5	8	544	480	512
8.5	9.5	9	608	544	576
9.5	10.5	10	672	608	640
10.5	11.5	11	736	672	704
11.5	12.5	12	800	736	768
12.5	13.5	13	864	800	832
13.5	14.5	14	928	864	896
14.5	15.5	15	992	928	960
15.5	17.5	16.5	1120	992	1056
17.5	19.5	18.5	1248	1120	1184
19.5	21.5	20.5	1376	1248	1312
21.5	23.5	22.5	1504	1376	1440
23.5	25.5	24.5	1632	1504	1568
25.5	27.5	26.5	1760	1632	1696
27.5	29.5	28.5	1888	1760	1824
29.5	31.5	30.5	2016	1888	1952
31.5	35.5	33.5	2272	2016	2144
35.5	39.5	37.5	2528	2272	2400
39.5	43.5	41.5	2784	2528	2656
43.5	47.5	45.5	3040	2784	2912
47.5	51.5	49.5	3296	3040	3168
51.5	55.5	53.5	3552	3296	3424
55.5	59.5	57.5	3808	3552	3680
59.5	63.5	61.5	4064	3808	3936
63.5	71.5	67.5	4576	4064	4320
71.5	79.5	75.5	5088	4576	4832
79.5	87.5	83.5	5600	5088	5344
87.5	95.5	91.5	6112	5600	5856
95.5	103.5	99.5	6624	6112	6368
103.5	111.5	107.5	7136	6624	6880
111.5	119.5	115.5	7648	7136	7392
119.5	127.5	123.5	8160	7648	7904
127.5	143.5	135.5	9184	8160	8672
143.5	159.5	151.5	10208	9184	9696
159.5	175.5	167.5	11232	10208	10720
175.5	191.5	183.5	12256	11232	11744
191.5	207.5	199.5	13280	12256	12768
207.5	223.5	215.5	14304	13280	13792
223.5	239.5	231.5	15328	14304	14816
239.5	255.5	247.4	16352	15328	15840
255.5	287.5	271.5	18400	16352	17376
287.5	319.5	303.5	20448	18400	19424
319.5	351.5	335.5	22496	20448	21472
351.5	383.5	367.5	24544	22496	23520
383.5	415.5	399.5	26592	24544	25568
415.5	447.5	431.5	28640	26592	27616
447.5	479.5	463.5	30688	28640	29664
479.5	511.5	495.5	32736	30688	31712






