MAVEN LPW LP Stub DAC-to-sweep voltage calibration Wed Sep 17 14:15:19 2014
DAC Step	V1	V2
0	49.4635	25.7005
1	49.4400	28.6621
2	49.4165	31.5145
3	49.3929	34.1488
4	49.3693	36.4557
5	49.3456	38.3566
6	49.3218	39.8943
7	49.2979	41.1419
8	49.2739	42.1726
9	49.2499	43.1804
10	49.2258	43.9938
11	49.2018	44.6515
12	49.1777	45.1926
13	49.1537	45.7193
14	49.1297	46.1415
15	49.1057	46.4813
16	49.0817	46.7607
17	49.0576	47.0368
18	49.0335	47.2589
19	49.0093	47.4374
20	48.9852	47.5825
21	48.9612	47.7234
22	48.9371	47.8340
23	48.9131	47.9200
24	48.8891	47.9867
25	48.8650	48.0490
26	48.8409	48.0941
27	48.8168	48.1262
28	48.7928	48.1497
29	48.7689	48.1741
30	48.7451	48.1910
31	48.7212	48.2020
32	48.6973	48.2088
33	48.6732	48.2162
34	48.6489	48.2197
35	48.6247	48.2193
36	48.6006	48.2153
37	48.5767	48.2099
38	48.5528	48.2008
39	48.5290	48.1883
40	48.5051	48.1726
41	48.4811	48.1548
42	48.4569	48.1339
43	48.4328	48.1111
44	48.4087	48.0874
45	48.3847	48.0634
46	48.3606	48.0390
47	48.3367	48.0149
48	48.3127	47.9923
49	48.2888	47.9727
50	48.2648	47.9545
51	48.2409	47.9369
52	48.2170	47.9190
53	48.1930	47.9000
54	48.1690	47.8805
55	48.1450	47.8602
56	48.1210	47.8390
57	48.0970	47.8176
58	48.0730	47.7951
59	48.0490	47.7712
60	48.0250	47.7458
61	48.0009	47.7171
62	47.9769	47.6870
63	47.9528	47.6575
64	47.9287	47.6302
65	47.9047	47.6085
66	47.8806	47.5890
67	47.8566	47.5701
68	47.8326	47.5497
69	47.8086	47.5249
70	47.7846	47.4986
71	47.7607	47.4720
72	47.7367	47.4462
73	47.7128	47.4233
74	47.6888	47.4013
75	47.6649	47.3793
76	47.6409	47.3564
77	47.6169	47.3305
78	47.5929	47.3037
79	47.5688	47.2774
80	47.5447	47.2528
81	47.5205	47.2322
82	47.4963	47.2132
83	47.4721	47.1945
84	47.4479	47.1747
85	47.4237	47.1521
86	47.3996	47.1282
87	47.3755	47.1036
88	47.3513	47.0787
89	47.3270	47.0539
90	47.3028	47.0291
91	47.2785	47.0044
92	47.2543	46.9802
93	47.2302	46.9569
94	47.2062	46.9341
95	47.1822	46.9116
96	47.1582	46.8893
97	47.1341	46.8669
98	47.1099	46.8446
99	47.0857	46.8223
100	47.0615	46.7998
101	47.0374	46.7769
102	47.0133	46.7539
103	46.9892	46.7309
104	46.9651	46.7079
105	46.9411	46.6863
106	46.9171	46.6647
107	46.8930	46.6420
108	46.8689	46.6173
109	46.8446	46.5890
110	46.8203	46.5587
111	46.7960	46.5279
