act_background	pas_background	amp_response	f_low_hf	f_high_hf	center_freq_hf
f_low_lf	f_high_lf	center_freq_lf	f_low_mf	f_high_mf	center_freq_mf
6.33E+07	4.61E+07	1	0	2048	1024
1.59E+07	1.15E+07	1	2048	6144	4096
79.5698	82.7938	1	6144	10240	8192
32.1197	30.4656	1	10240	14336	12288
37.6319	28.3681	1	14336	18432	16384
33	30.3991	1	18432	22528	20480
24.9978	24.2483	1	22528	26624	24576
17.7583	17.2927	1	26624	30720	28672
15.184	15.3681	1	30720	34816	32768
15.4856	15.6319	1	34816	38912	36864
15.5854	16.2528	1	38912	43008	40960
14.0399	14.5277	1	43008	47104	45056
13.6208	14.2373	1	47104	51200	49152
13.7406	14.2173	1	51200	55296	53248
14.1286	14.153	1	55296	59392	57344
14.1996	14.2949	1	59392	63488	61440
15.1951	14.5543	1	63488	67584	65536
14.3503	14.4124	1	67584	71680	69632
14.6452	14.3481	1	71680	75776	73728
15.1552	14.8027	1	75776	79872	77824
15.3902	14.8182	1	79872	83968	81920
14.3925	14.6319	1	83968	88064	86016
14.3858	14.6519	1	88064	92160	90112
13.765	14.7583	1	92160	96256	94208
14.7007	15.0177	1	96256	100352	98304
14.8071	14.9534	1	100352	104448	102400
14.6674	14.898	1	104448	108544	106496
15.1042	14.867	1	108544	112640	110592
15.2528	14.8182	1	112640	116736	114688
15.2217	15.0333	1	116736	120832	118784
15.0222	15.1109	1	120832	124928	122880
15.2993	15.459	1	124928	129024	126976
15.9734	16.5233	1	129024	133120	131072
15.1131	15.5854	1	133120	137216	135168
15.7073	15.133	1	137216	141312	139264
16.0177	15.1774	1	141312	145408	143360
15.5188	15.2772	1	145408	149504	147456
15.0488	15.2483	1	149504	153600	151552
15.3947	15.204	1	153600	157696	155648
15.0599	15.4013	1	157696	161792	159744
15.1796	15.4767	1	161792	165888	163840
15.5787	15.3525	1	165888	169984	167936
15.6519	15.3259	1	169984	174080	172032
15.2749	15.2905	1	174080	178176	176128
